 num     #instances         #bytes  class name (module)
  88:             7            224  java.util.Hashtable$Entry (java.base@21.0.7)
  89:             5            200  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.7)
  90:             5            200  java.security.ProtectionDomain (java.base@21.0.7)
  91:             5            200  java.util.WeakHashMap$Entry (java.base@21.0.7)
  92:             3            192  [Lsun.invoke.util.Wrapper; (java.base@21.0.7)
  93:            12            192  java.util.concurrent.locks.ReentrantLock (java.base@21.0.7)
  94:             7            184  [Ljava.io.ObjectStreamField; (java.base@21.0.7)
  95:             5            160  java.lang.invoke.SimpleMethodHandle (java.base@21.0.7)
  96:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@21.0.7)
  97:             4            160  java.security.CodeSource (java.base@21.0.7)
  98:             5            160  java.util.ImmutableCollections$MapN (java.base@21.0.7)
  99:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@21.0.7)
 100:             6            144  java.lang.Thread$State (java.base@21.0.7)
 101:             3            144  java.lang.ThreadGroup (java.base@21.0.7)
 102:             3            144  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@21.0.7)
 103:             3            144  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@21.0.7)
 104:             3            144  java.util.Hashtable (java.base@21.0.7)
 105:             9            144  jdk.internal.misc.InternalLock (java.base@21.0.7)
 106:             3            128  [Ljava.util.Hashtable$Entry; (java.base@21.0.7)
 107:             4            128  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@21.0.7)
 108:             2            128  java.net.URL (java.base@21.0.7)
 109:             4            128  jdk.internal.loader.NativeLibraries (java.base@21.0.7)
 110:             3            120  [Ljava.lang.invoke.LambdaForm$BasicType; (java.base@21.0.7)
 111:             3            120  java.io.FileDescriptor (java.base@21.0.7)
 112:             1            120  java.lang.ref.Finalizer$FinalizerThread (java.base@21.0.7)
 113:             1            120  java.lang.ref.Reference$ReferenceHandler (java.base@21.0.7)
 114:             1            120  jdk.internal.misc.InnocuousThread (java.base@21.0.7)
 115:             2            112  java.nio.HeapByteBuffer (java.base@21.0.7)
 116:             2            112  sun.nio.cs.StreamEncoder (java.base@21.0.7)
 117:             1            104  [Ljava.lang.reflect.ClassFileFormatVersion; (java.base@21.0.7)
 118:             1            104  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@21.0.7)
 119:             1            104  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@21.0.7)
 120:             1            104  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@21.0.7)
 121:             1             96  [Ljava.lang.invoke.MethodType; (java.base@21.0.7)
 122:             1             96  [Lsun.util.locale.BaseLocale; (java.base@21.0.7)
